Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3015 | games   640 | time 3s/300s
step 1600 | loss 0.1943 | games 102400 | time 225s/300s
step 1610 | loss 0.1850 | games 103040 | time 227s/300s
step 1620 | loss 0.1681 | games 103680 | time 228s/300s
step 1630 | loss 0.1649 | games 104320 | time 229s/300s
step 1640 | loss 0.1833 | games 104960 | time 231s/300s
step 1650 | loss 0.1779 | games 105600 | time 232s/300s
step 1660 | loss 0.1913 | games 106240 | time 233s/300s
step 1670 | loss 0.1962 | games 106880 | time 235s/300s
step 1680 | loss 0.2084 | games 107520 | time 236s/300s
step 1690 | loss 0.1965 | games 108160 | time 237s/300s
step 1700 | loss 0.1773 | games 108800 | time 239s/300s
step 1710 | loss 0.1818 | games 109440 | time 240s/300s
step 1720 | loss 0.1795 | games 110080 | time 241s/300s
step 1730 | loss 0.2193 | games 110720 | time 243s/300s
step 1740 | loss 0.1933 | games 111360 | time 244s/300s
step 1750 | loss 0.1819 | games 112000 | time 245s/300s
step 1760 | loss 0.1903 | games 112640 | time 247s/300s
step 1770 | loss 0.2081 | games 113280 | time 248s/300s
step 1780 | loss 0.2030 | games 113920 | time 250s/300s
step 1790 | loss 0.2326 | games 114560 | time 251s/300s
step 1800 | loss 0.1965 | games 115200 | time 252s/300s
step 1810 | loss 0.2020 | games 115840 | time 254s/300s
step 1820 | loss 0.1948 | games 116480 | time 255s/300s
step 1830 | loss 0.1469 | games 117120 | time 256s/300s
step 1840 | loss 0.1861 | games 117760 | time 258s/300s
step 1850 | loss 0.1781 | games 118400 | time 259s/300s
step 1860 | loss 0.1869 | games 119040 | time 260s/300s
step 1870 | loss 0.1818 | games 119680 | time 262s/300s
step 1880 | loss 0.1871 | games 120320 | time 263s/300s
step 1890 | loss 0.1840 | games 120960 | time 265s/300s
step 1900 | loss 0.1969 | games 121600 | time 266s/300s
step 1910 | loss 0.1364 | games 122240 | time 267s/300s
step 1920 | loss 0.1572 | games 122880 | time 269s/300s
step 1930 | loss 0.1838 | games 123520 | time 270s/300s
step 1940 | loss 0.1508 | games 124160 | time 271s/300s
step 1950 | loss 0.1691 | games 124800 | time 273s/300s
step 1960 | loss 0.1714 | games 125440 | time 274s/300s
step 1970 | loss 0.1536 | games 126080 | time 275s/300s
step 1980 | loss 0.1720 | games 126720 | time 277s/300s
step 1990 | loss 0.1728 | games 127360 | time 278s/300s
step 2000 | loss 0.1738 | games 128000 | time 279s/300s
step 2010 | loss 0.1669 | games 128640 | time 281s/300s
step 2020 | loss 0.1574 | games 129280 | time 282s/300s
step 2030 | loss 0.1746 | games 129920 | time 284s/300s
step 2040 | loss 0.2053 | games 130560 | time 285s/300s
step 2050 | loss 0.1859 | games 131200 | time 286s/300s
step 2060 | loss 0.1874 | games 131840 | time 288s/300s
step 2070 | loss 0.1754 | games 132480 | time 289s/300s
step 2080 | loss 0.1696 | games 133120 | time 290s/300s
step 2090 | loss 0.1696 | games 133760 | time 292s/300s
step 2100 | loss 0.1962 | games 134400 | time 293s/300s
step 2110 | loss 0.1729 | games 135040 | time 294s/300s
step 2120 | loss 0.1494 | games 135680 | time 296s/300s
step 2130 | loss 0.1704 | games 136320 | time 297s/300s
step 2140 | loss 0.2013 | games 136960 | time 298s/300s
step 2150 | loss 0.2040 | games 137600 | time 300s/300s

Training complete: 2152 steps, 137728 games, 300.1s

Evaluating against opponent suite...

Per-opponent results:
  random         : 1.000 win_rate (100W 0L 0D / 100)
  one_step       : 1.000 win_rate (100W 0L 0D / 100)
  minimax_d3     : 1.000 win_rate (100W 0L 0D / 100)
  minimax_d5     : 0.000 win_rate (0W 100L 0D / 100)

---
win_rate:          0.538462
training_seconds:  300.1
total_seconds:     428.6
eval_seconds:      127.6
peak_vram_mb:      2800.9
total_games:       137728
num_steps:         2152
num_params:        764872
conv_layers:       3
conv_channels:     64
fc_hidden:         128
entropy_coef:      0.03
