Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4688 | games   640 | time 1s/300s
step 2650 | loss 0.3147 | games 169600 | time 172s/300s
step 2660 | loss 0.3450 | games 170240 | time 172s/300s
step 2670 | loss 0.3277 | games 170880 | time 173s/300s
step 2680 | loss 0.3222 | games 171520 | time 173s/300s
step 2690 | loss 0.3228 | games 172160 | time 174s/300s
step 2700 | loss 0.3200 | games 172800 | time 175s/300s
step 2710 | loss 0.2974 | games 173440 | time 175s/300s
step 2720 | loss 0.3200 | games 174080 | time 176s/300s
step 2730 | loss 0.3227 | games 174720 | time 176s/300s
step 2740 | loss 0.3047 | games 175360 | time 177s/300s
step 2750 | loss 0.2575 | games 176000 | time 177s/300s
step 2760 | loss 0.2817 | games 176640 | time 178s/300s
step 2770 | loss 0.3355 | games 177280 | time 178s/300s
step 2780 | loss 0.3413 | games 177920 | time 179s/300s
step 2790 | loss 0.3237 | games 178560 | time 180s/300s
step 2800 | loss 0.3249 | games 179200 | time 180s/300s
step 2810 | loss 0.3229 | games 179840 | time 181s/300s
step 2820 | loss 0.3173 | games 180480 | time 181s/300s
step 2830 | loss 0.2869 | games 181120 | time 182s/300s
step 2840 | loss 0.2907 | games 181760 | time 183s/300s
step 2850 | loss 0.2605 | games 182400 | time 183s/300s
step 2860 | loss 0.2628 | games 183040 | time 184s/300s
step 2870 | loss 0.2720 | games 183680 | time 184s/300s
step 2880 | loss 0.2912 | games 184320 | time 185s/300s
step 2890 | loss 0.2481 | games 184960 | time 185s/300s
step 2900 | loss 0.2880 | games 185600 | time 186s/300s
step 2910 | loss 0.2490 | games 186240 | time 187s/300s
step 2920 | loss 0.2772 | games 186880 | time 187s/300s
step 2930 | loss 0.2779 | games 187520 | time 188s/300s
step 2940 | loss 0.2966 | games 188160 | time 188s/300s
step 2950 | loss 0.2947 | games 188800 | time 189s/300s
step 2960 | loss 0.3049 | games 189440 | time 189s/300s
step 2970 | loss 0.3048 | games 190080 | time 190s/300s
step 2980 | loss 0.3220 | games 190720 | time 191s/300s
step 2990 | loss 0.2567 | games 191360 | time 191s/300s
step 3000 | loss 0.2899 | games 192000 | time 192s/300s
step 3010 | loss 0.2412 | games 192640 | time 192s/300s
step 3020 | loss 0.2158 | games 193280 | time 193s/300s
step 3030 | loss 0.2155 | games 193920 | time 193s/300s
step 3040 | loss 0.2064 | games 194560 | time 194s/300s
step 3050 | loss 0.2237 | games 195200 | time 194s/300s
step 3060 | loss 0.2446 | games 195840 | time 195s/300s
step 3070 | loss 0.2203 | games 196480 | time 195s/300s
step 3080 | loss 0.2361 | games 197120 | time 196s/300s
step 3090 | loss 0.2469 | games 197760 | time 196s/300s
step 3100 | loss 0.2428 | games 198400 | time 197s/300s
step 3110 | loss 0.2415 | games 199040 | time 198s/300s
step 3120 | loss 0.2705 | games 199680 | time 198s/300s
step 3130 | loss 0.2013 | games 200320 | time 198s/300s
step 3140 | loss 0.2103 | games 200960 | time 199s/300s
step 3150 | loss 0.2142 | games 201600 | time 199s/300s
step 3160 | loss 0.2395 | games 202240 | time 200s/300s
step 3170 | loss 0.2015 | games 202880 | time 200s/300s
step 3180 | loss 0.2354 | games 203520 | time 201s/300s
step 3190 | loss 0.2423 | games 204160 | time 202s/300s
step 3200 | loss 0.2880 | games 204800 | time 202s/300s
step 3210 | loss 0.2746 | games 205440 | time 203s/300s
step 3220 | loss 0.3044 | games 206080 | time 203s/300s
step 3230 | loss 0.2966 | games 206720 | time 204s/300s
step 3240 | loss 0.3263 | games 207360 | time 205s/300s
step 3250 | loss 0.3012 | games 208000 | time 205s/300s
step 3260 | loss 0.2930 | games 208640 | time 206s/300s
step 3270 | loss 0.3219 | games 209280 | time 207s/300s
step 3280 | loss 0.3088 | games 209920 | time 207s/300s
step 3290 | loss 0.2917 | games 210560 | time 208s/300s
step 3300 | loss 0.3039 | games 211200 | time 208s/300s
step 3310 | loss 0.3077 | games 211840 | time 209s/300s
step 3320 | loss 0.2672 | games 212480 | time 209s/300s
step 3330 | loss 0.2783 | games 213120 | time 210s/300s
step 3340 | loss 0.2726 | games 213760 | time 211s/300s
step 3350 | loss 0.2371 | games 214400 | time 211s/300s
step 3360 | loss 0.2628 | games 215040 | time 212s/300s
step 3370 | loss 0.3104 | games 215680 | time 212s/300s
step 3380 | loss 0.3067 | games 216320 | time 213s/300s
step 3390 | loss 0.2716 | games 216960 | time 214s/300s
step 3400 | loss 0.2795 | games 217600 | time 214s/300s
step 3410 | loss 0.2503 | games 218240 | time 215s/300s
step 3420 | loss 0.2438 | games 218880 | time 215s/300s
step 3430 | loss 0.2434 | games 219520 | time 216s/300s
step 3440 | loss 0.2759 | games 220160 | time 217s/300s
step 3450 | loss 0.2927 | games 220800 | time 217s/300s
step 3460 | loss 0.2761 | games 221440 | time 218s/300s
