Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5253 | games   640 | time 1s/300s
step 2650 | loss 0.2532 | games 169600 | time 146s/300s
step 2660 | loss 0.2322 | games 170240 | time 147s/300s
step 2670 | loss 0.2428 | games 170880 | time 147s/300s
step 2680 | loss 0.2864 | games 171520 | time 148s/300s
step 2690 | loss 0.2712 | games 172160 | time 148s/300s
step 2700 | loss 0.2914 | games 172800 | time 149s/300s
step 2710 | loss 0.2142 | games 173440 | time 149s/300s
step 2720 | loss 0.1465 | games 174080 | time 150s/300s
step 2730 | loss 0.2510 | games 174720 | time 150s/300s
step 2740 | loss 0.2513 | games 175360 | time 151s/300s
step 2750 | loss 0.2475 | games 176000 | time 151s/300s
step 2760 | loss 0.2701 | games 176640 | time 152s/300s
step 2770 | loss 0.2699 | games 177280 | time 153s/300s
step 2780 | loss 0.2465 | games 177920 | time 153s/300s
step 2790 | loss 0.2341 | games 178560 | time 154s/300s
step 2800 | loss 0.2555 | games 179200 | time 154s/300s
step 2810 | loss 0.2546 | games 179840 | time 155s/300s
step 2820 | loss 0.2709 | games 180480 | time 155s/300s
step 2830 | loss 0.2868 | games 181120 | time 156s/300s
step 2840 | loss 0.3053 | games 181760 | time 156s/300s
step 2850 | loss 0.2639 | games 182400 | time 157s/300s
step 2860 | loss 0.2391 | games 183040 | time 157s/300s
step 2870 | loss 0.2288 | games 183680 | time 158s/300s
step 2880 | loss 0.2997 | games 184320 | time 158s/300s
step 2890 | loss 0.2552 | games 184960 | time 159s/300s
step 2900 | loss 0.2770 | games 185600 | time 160s/300s
step 2910 | loss 0.2441 | games 186240 | time 160s/300s
step 2920 | loss 0.2445 | games 186880 | time 161s/300s
step 2930 | loss 0.3046 | games 187520 | time 161s/300s
step 2940 | loss 0.3171 | games 188160 | time 162s/300s
step 2950 | loss 0.2818 | games 188800 | time 162s/300s
step 2960 | loss 0.2629 | games 189440 | time 163s/300s
step 2970 | loss 0.2477 | games 190080 | time 164s/300s
step 2980 | loss 0.2677 | games 190720 | time 164s/300s
step 2990 | loss 0.2637 | games 191360 | time 165s/300s
step 3000 | loss 0.2829 | games 192000 | time 165s/300s
step 3010 | loss 0.2575 | games 192640 | time 166s/300s
step 3020 | loss 0.2981 | games 193280 | time 167s/300s
step 3030 | loss 0.2836 | games 193920 | time 167s/300s
step 3040 | loss 0.2801 | games 194560 | time 168s/300s
step 3050 | loss 0.2878 | games 195200 | time 168s/300s
step 3060 | loss 0.2557 | games 195840 | time 169s/300s
step 3070 | loss 0.2706 | games 196480 | time 170s/300s
step 3080 | loss 0.2829 | games 197120 | time 170s/300s
step 3090 | loss 0.2697 | games 197760 | time 171s/300s
step 3100 | loss 0.2875 | games 198400 | time 171s/300s
step 3110 | loss 0.2861 | games 199040 | time 172s/300s
step 3120 | loss 0.2578 | games 199680 | time 173s/300s
step 3130 | loss 0.2547 | games 200320 | time 173s/300s
step 3140 | loss 0.2765 | games 200960 | time 174s/300s
step 3150 | loss 0.2574 | games 201600 | time 174s/300s
step 3160 | loss 0.2838 | games 202240 | time 175s/300s
step 3170 | loss 0.2863 | games 202880 | time 176s/300s
step 3180 | loss 0.3001 | games 203520 | time 176s/300s
step 3190 | loss 0.2884 | games 204160 | time 177s/300s
step 3200 | loss 0.3093 | games 204800 | time 177s/300s
step 3210 | loss 0.2864 | games 205440 | time 178s/300s
step 3220 | loss 0.2704 | games 206080 | time 179s/300s
step 3230 | loss 0.2589 | games 206720 | time 179s/300s
step 3240 | loss 0.2742 | games 207360 | time 180s/300s
step 3250 | loss 0.2708 | games 208000 | time 180s/300s
step 3260 | loss 0.2540 | games 208640 | time 181s/300s
step 3270 | loss 0.2208 | games 209280 | time 181s/300s
step 3280 | loss 0.2183 | games 209920 | time 182s/300s
step 3290 | loss 0.2198 | games 210560 | time 182s/300s
step 3300 | loss 0.2123 | games 211200 | time 183s/300s
step 3310 | loss 0.2706 | games 211840 | time 184s/300s
step 3320 | loss 0.2935 | games 212480 | time 184s/300s
step 3330 | loss 0.2401 | games 213120 | time 185s/300s
step 3340 | loss 0.2127 | games 213760 | time 185s/300s
step 3350 | loss 0.1470 | games 214400 | time 185s/300s
step 3360 | loss 0.1719 | games 215040 | time 186s/300s
step 3370 | loss 0.1352 | games 215680 | time 186s/300s
step 3380 | loss 0.1362 | games 216320 | time 187s/300s
step 3390 | loss 0.1695 | games 216960 | time 187s/300s
step 3400 | loss 0.1661 | games 217600 | time 188s/300s
step 3410 | loss 0.2052 | games 218240 | time 188s/300s
step 3420 | loss 0.1962 | games 218880 | time 189s/300s
step 3430 | loss 0.2186 | games 219520 | time 189s/300s
step 3440 | loss 0.1854 | games 220160 | time 190s/300s
step 3450 | loss 0.2329 | games 220800 | time 190s/300s
step 3460 | loss 0.2172 | games 221440 | time 191s/300s
step 3470 | loss 0.2551 | games 222080 | time 191s/300s
step 3480 | loss 0.2332 | games 222720 | time 192s/300s
step 3490 | loss 0.2214 | games 223360 | time 193s/300s
step 3500 | loss 0.2057 | games 224000 | time 193s/300s
step 3510 | loss 0.2170 | games 224640 | time 194s/300s
step 3520 | loss 0.2352 | games 225280 | time 194s/300s
step 3530 | loss 0.2328 | games 225920 | time 195s/300s
step 3540 | loss 0.2457 | games 226560 | time 195s/300s
step 3550 | loss 0.3105 | games 227200 | time 196s/300s
step 3560 | loss 0.2756 | games 227840 | time 196s/300s
step 3570 | loss 0.2712 | games 228480 | time 197s/300s
step 3580 | loss 0.2195 | games 229120 | time 198s/300s
step 3590 | loss 0.2377 | games 229760 | time 198s/300s
step 3600 | loss 0.2771 | games 230400 | time 199s/300s
step 3610 | loss 0.2770 | games 231040 | time 200s/300s
step 3620 | loss 0.3139 | games 231680 | time 200s/300s
step 3630 | loss 0.3280 | games 232320 | time 201s/300s
step 3640 | loss 0.3142 | games 232960 | time 201s/300s
step 3650 | loss 0.3005 | games 233600 | time 202s/300s
step 3660 | loss 0.2911 | games 234240 | time 203s/300s
step 3670 | loss 0.2867 | games 234880 | time 203s/300s
step 3680 | loss 0.2688 | games 235520 | time 204s/300s
step 3690 | loss 0.2379 | games 236160 | time 204s/300s
step 3700 | loss 0.2251 | games 236800 | time 205s/300s
step 3710 | loss 0.2517 | games 237440 | time 205s/300s
step 3720 | loss 0.2718 | games 238080 | time 206s/300s
step 3730 | loss 0.3019 | games 238720 | time 207s/300s
step 3740 | loss 0.2321 | games 239360 | time 207s/300s
step 3750 | loss 0.2430 | games 240000 | time 208s/300s
step 3760 | loss 0.2368 | games 240640 | time 208s/300s
