Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3576 | games   640 | time 2s/300s
step 2590 | loss 0.1924 | games 165760 | time 244s/300s
step 2600 | loss 0.1952 | games 166400 | time 245s/300s
step 2610 | loss 0.2151 | games 167040 | time 246s/300s
step 2620 | loss 0.2156 | games 167680 | time 247s/300s
step 2630 | loss 0.2499 | games 168320 | time 248s/300s
step 2640 | loss 0.2530 | games 168960 | time 249s/300s
step 2650 | loss 0.2151 | games 169600 | time 250s/300s
step 2660 | loss 0.2120 | games 170240 | time 251s/300s
step 2670 | loss 0.2071 | games 170880 | time 252s/300s
step 2680 | loss 0.2186 | games 171520 | time 253s/300s
step 2690 | loss 0.2188 | games 172160 | time 254s/300s
step 2700 | loss 0.2264 | games 172800 | time 255s/300s
step 2710 | loss 0.2216 | games 173440 | time 256s/300s
step 2720 | loss 0.2234 | games 174080 | time 257s/300s
step 2730 | loss 0.2238 | games 174720 | time 258s/300s
step 2740 | loss 0.2265 | games 175360 | time 259s/300s
step 2750 | loss 0.2445 | games 176000 | time 260s/300s
step 2760 | loss 0.2285 | games 176640 | time 261s/300s
step 2770 | loss 0.2000 | games 177280 | time 262s/300s
step 2780 | loss 0.2280 | games 177920 | time 263s/300s
step 2790 | loss 0.2507 | games 178560 | time 264s/300s
step 2800 | loss 0.2310 | games 179200 | time 265s/300s
step 2810 | loss 0.2431 | games 179840 | time 266s/300s
step 2820 | loss 0.2077 | games 180480 | time 267s/300s
step 2830 | loss 0.1903 | games 181120 | time 268s/300s
step 2840 | loss 0.2045 | games 181760 | time 269s/300s
step 2850 | loss 0.2025 | games 182400 | time 270s/300s
step 2860 | loss 0.2106 | games 183040 | time 271s/300s
step 2870 | loss 0.2386 | games 183680 | time 272s/300s
step 2880 | loss 0.1959 | games 184320 | time 273s/300s
step 2890 | loss 0.2331 | games 184960 | time 274s/300s
step 2900 | loss 0.2318 | games 185600 | time 275s/300s
step 2910 | loss 0.2234 | games 186240 | time 276s/300s
step 2920 | loss 0.2424 | games 186880 | time 277s/300s
step 2930 | loss 0.2406 | games 187520 | time 278s/300s
step 2940 | loss 0.2209 | games 188160 | time 279s/300s
step 2950 | loss 0.2328 | games 188800 | time 280s/300s
step 2960 | loss 0.2110 | games 189440 | time 281s/300s
step 2970 | loss 0.2367 | games 190080 | time 282s/300s
step 2980 | loss 0.2169 | games 190720 | time 283s/300s
step 2990 | loss 0.2151 | games 191360 | time 284s/300s
step 3000 | loss 0.1899 | games 192000 | time 285s/300s
step 3010 | loss 0.2141 | games 192640 | time 286s/300s
step 3020 | loss 0.2358 | games 193280 | time 287s/300s
step 3030 | loss 0.2327 | games 193920 | time 288s/300s
step 3040 | loss 0.2250 | games 194560 | time 289s/300s
step 3050 | loss 0.2314 | games 195200 | time 290s/300s
step 3060 | loss 0.2253 | games 195840 | time 290s/300s
step 3070 | loss 0.2299 | games 196480 | time 291s/300s
step 3080 | loss 0.2197 | games 197120 | time 292s/300s
step 3090 | loss 0.2074 | games 197760 | time 293s/300s
step 3100 | loss 0.2125 | games 198400 | time 294s/300s
step 3110 | loss 0.2113 | games 199040 | time 295s/300s
step 3120 | loss 0.2044 | games 199680 | time 296s/300s
step 3130 | loss 0.1909 | games 200320 | time 297s/300s
step 3140 | loss 0.1906 | games 200960 | time 298s/300s
step 3150 | loss 0.2220 | games 201600 | time 299s/300s

Training complete: 3158 steps, 202112 games, 300.1s

Evaluating against opponent suite...

Per-opponent results:
  random         : 1.000 win_rate (100W 0L 0D / 100)
  one_step       : 1.000 win_rate (100W 0L 0D / 100)
  minimax_d3     : 1.000 win_rate (100W 0L 0D / 100)
  minimax_d5     : 1.000 win_rate (100W 0L 0D / 100)

---
win_rate:          1.000000
training_seconds:  300.1
total_seconds:     418.6
eval_seconds:      117.6
peak_vram_mb:      2800.8
total_games:       202112
num_steps:         3158
num_params:        764872
conv_layers:       3
conv_channels:     64
fc_hidden:         128
entropy_coef:      0.03
