Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3937 | games   640 | time 2s/300s
step 2440 | loss 0.2459 | games 156160 | time 209s/300s
step 2450 | loss 0.2298 | games 156800 | time 210s/300s
step 2460 | loss 0.2647 | games 157440 | time 211s/300s
step 2470 | loss 0.2308 | games 158080 | time 212s/300s
step 2480 | loss 0.2034 | games 158720 | time 212s/300s
step 2490 | loss 0.2341 | games 159360 | time 213s/300s
step 2500 | loss 0.2513 | games 160000 | time 214s/300s
step 2510 | loss 0.2261 | games 160640 | time 215s/300s
step 2520 | loss 0.2192 | games 161280 | time 216s/300s
step 2530 | loss 0.2397 | games 161920 | time 217s/300s
step 2540 | loss 0.2241 | games 162560 | time 218s/300s
step 2550 | loss 0.2210 | games 163200 | time 219s/300s
step 2560 | loss 0.2346 | games 163840 | time 220s/300s
step 2570 | loss 0.2185 | games 164480 | time 220s/300s
step 2580 | loss 0.2166 | games 165120 | time 221s/300s
step 2590 | loss 0.2356 | games 165760 | time 222s/300s
step 2600 | loss 0.2348 | games 166400 | time 223s/300s
step 2610 | loss 0.2292 | games 167040 | time 224s/300s
step 2620 | loss 0.2265 | games 167680 | time 225s/300s
step 2630 | loss 0.2097 | games 168320 | time 226s/300s
step 2640 | loss 0.2083 | games 168960 | time 227s/300s
step 2650 | loss 0.2013 | games 169600 | time 227s/300s
step 2660 | loss 0.1973 | games 170240 | time 228s/300s
step 2670 | loss 0.2099 | games 170880 | time 229s/300s
step 2680 | loss 0.2051 | games 171520 | time 230s/300s
step 2690 | loss 0.2104 | games 172160 | time 231s/300s
step 2700 | loss 0.2022 | games 172800 | time 232s/300s
step 2710 | loss 0.1952 | games 173440 | time 233s/300s
step 2720 | loss 0.2025 | games 174080 | time 233s/300s
step 2730 | loss 0.1984 | games 174720 | time 234s/300s
step 2740 | loss 0.1998 | games 175360 | time 235s/300s
step 2750 | loss 0.2024 | games 176000 | time 236s/300s
step 2760 | loss 0.2182 | games 176640 | time 237s/300s
step 2770 | loss 0.2224 | games 177280 | time 238s/300s
step 2780 | loss 0.2427 | games 177920 | time 239s/300s
step 2790 | loss 0.2212 | games 178560 | time 240s/300s
step 2800 | loss 0.2279 | games 179200 | time 240s/300s
step 2810 | loss 0.2386 | games 179840 | time 241s/300s
step 2820 | loss 0.2316 | games 180480 | time 242s/300s
step 2830 | loss 0.2396 | games 181120 | time 243s/300s
