Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5371 | games   640 | time 1s/300s
step 1010 | loss 0.2986 | games 64640 | time 60s/300s
step 1020 | loss 0.3222 | games 65280 | time 61s/300s
step 1030 | loss 0.3090 | games 65920 | time 61s/300s
step 1040 | loss 0.3161 | games 66560 | time 62s/300s
step 1050 | loss 0.3547 | games 67200 | time 63s/300s
step 1060 | loss 0.3507 | games 67840 | time 63s/300s
step 1070 | loss 0.3249 | games 68480 | time 64s/300s
step 1080 | loss 0.2902 | games 69120 | time 65s/300s
step 1090 | loss 0.3282 | games 69760 | time 65s/300s
step 1100 | loss 0.3155 | games 70400 | time 66s/300s
step 1110 | loss 0.3038 | games 71040 | time 66s/300s
step 1120 | loss 0.3158 | games 71680 | time 67s/300s
step 1130 | loss 0.2762 | games 72320 | time 67s/300s
step 1140 | loss 0.2869 | games 72960 | time 68s/300s
step 1150 | loss 0.2693 | games 73600 | time 69s/300s
step 1160 | loss 0.3077 | games 74240 | time 69s/300s
step 1170 | loss 0.2978 | games 74880 | time 70s/300s
step 1180 | loss 0.3045 | games 75520 | time 70s/300s
step 1190 | loss 0.2945 | games 76160 | time 71s/300s
step 1200 | loss 0.3129 | games 76800 | time 72s/300s
step 1210 | loss 0.2797 | games 77440 | time 72s/300s
step 1220 | loss 0.3179 | games 78080 | time 73s/300s
step 1230 | loss 0.3549 | games 78720 | time 73s/300s
step 1240 | loss 0.3753 | games 79360 | time 74s/300s
step 1250 | loss 0.3621 | games 80000 | time 75s/300s
step 1260 | loss 0.3757 | games 80640 | time 75s/300s
step 1270 | loss 0.3729 | games 81280 | time 76s/300s
step 1280 | loss 0.3008 | games 81920 | time 76s/300s
step 1290 | loss 0.3054 | games 82560 | time 77s/300s
step 1300 | loss 0.3022 | games 83200 | time 78s/300s
step 1310 | loss 0.3067 | games 83840 | time 78s/300s
step 1320 | loss 0.3214 | games 84480 | time 79s/300s
step 1330 | loss 0.3404 | games 85120 | time 80s/300s
step 1340 | loss 0.3417 | games 85760 | time 80s/300s
step 1350 | loss 0.3115 | games 86400 | time 81s/300s
step 1360 | loss 0.3286 | games 87040 | time 82s/300s
step 1370 | loss 0.3088 | games 87680 | time 82s/300s
step 1380 | loss 0.3147 | games 88320 | time 83s/300s
step 1390 | loss 0.3002 | games 88960 | time 83s/300s
step 1400 | loss 0.3255 | games 89600 | time 84s/300s
step 1410 | loss 0.3264 | games 90240 | time 84s/300s
step 1420 | loss 0.3306 | games 90880 | time 85s/300s
step 1430 | loss 0.3103 | games 91520 | time 86s/300s
step 1440 | loss 0.2646 | games 92160 | time 86s/300s
step 1450 | loss 0.2536 | games 92800 | time 87s/300s
step 1460 | loss 0.2463 | games 93440 | time 87s/300s
step 1470 | loss 0.2704 | games 94080 | time 88s/300s
step 1480 | loss 0.2847 | games 94720 | time 89s/300s
step 1490 | loss 0.2989 | games 95360 | time 89s/300s
step 1500 | loss 0.3204 | games 96000 | time 90s/300s
step 1510 | loss 0.3343 | games 96640 | time 91s/300s
step 1520 | loss 0.2800 | games 97280 | time 91s/300s
step 1530 | loss 0.3364 | games 97920 | time 92s/300s
step 1540 | loss 0.3258 | games 98560 | time 92s/300s
step 1550 | loss 0.3551 | games 99200 | time 93s/300s
step 1560 | loss 0.3108 | games 99840 | time 93s/300s
step 1570 | loss 0.2817 | games 100480 | time 94s/300s
