Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4946 | games   640 | time 1s/300s
step 2670 | loss 0.2261 | games 170880 | time 158s/300s
step 2680 | loss 0.2360 | games 171520 | time 158s/300s
step 2690 | loss 0.2456 | games 172160 | time 159s/300s
step 2700 | loss 0.2310 | games 172800 | time 159s/300s
step 2710 | loss 0.2758 | games 173440 | time 160s/300s
step 2720 | loss 0.2683 | games 174080 | time 161s/300s
step 2730 | loss 0.2436 | games 174720 | time 161s/300s
step 2740 | loss 0.2362 | games 175360 | time 162s/300s
step 2750 | loss 0.2407 | games 176000 | time 162s/300s
step 2760 | loss 0.2457 | games 176640 | time 163s/300s
step 2770 | loss 0.2088 | games 177280 | time 163s/300s
step 2780 | loss 0.1701 | games 177920 | time 164s/300s
step 2790 | loss 0.2659 | games 178560 | time 164s/300s
step 2800 | loss 0.2829 | games 179200 | time 165s/300s
step 2810 | loss 0.3117 | games 179840 | time 165s/300s
step 2820 | loss 0.3132 | games 180480 | time 166s/300s
step 2830 | loss 0.3106 | games 181120 | time 166s/300s
step 2840 | loss 0.2954 | games 181760 | time 167s/300s
step 2850 | loss 0.2301 | games 182400 | time 167s/300s
step 2860 | loss 0.3121 | games 183040 | time 168s/300s
step 2870 | loss 0.3027 | games 183680 | time 168s/300s
step 2880 | loss 0.2698 | games 184320 | time 169s/300s
step 2890 | loss 0.2909 | games 184960 | time 169s/300s
step 2900 | loss 0.3035 | games 185600 | time 170s/300s
step 2910 | loss 0.2672 | games 186240 | time 171s/300s
step 2920 | loss 0.1966 | games 186880 | time 171s/300s
step 2930 | loss 0.2884 | games 187520 | time 172s/300s
step 2940 | loss 0.2724 | games 188160 | time 172s/300s
step 2950 | loss 0.3165 | games 188800 | time 173s/300s
step 2960 | loss 0.3180 | games 189440 | time 173s/300s
step 2970 | loss 0.3090 | games 190080 | time 174s/300s
step 2980 | loss 0.2648 | games 190720 | time 174s/300s
step 2990 | loss 0.1475 | games 191360 | time 175s/300s
step 3000 | loss 0.1619 | games 192000 | time 175s/300s
step 3010 | loss 0.2569 | games 192640 | time 175s/300s
step 3020 | loss 0.2798 | games 193280 | time 176s/300s
step 3030 | loss 0.2425 | games 193920 | time 176s/300s
step 3040 | loss 0.2351 | games 194560 | time 177s/300s
step 3050 | loss 0.2567 | games 195200 | time 177s/300s
step 3060 | loss 0.2962 | games 195840 | time 178s/300s
step 3070 | loss 0.2716 | games 196480 | time 178s/300s
step 3080 | loss 0.2211 | games 197120 | time 179s/300s
step 3090 | loss 0.2403 | games 197760 | time 180s/300s
step 3100 | loss 0.2372 | games 198400 | time 180s/300s
step 3110 | loss 0.2636 | games 199040 | time 181s/300s
step 3120 | loss 0.2996 | games 199680 | time 181s/300s
step 3130 | loss 0.2653 | games 200320 | time 182s/300s
step 3140 | loss 0.2989 | games 200960 | time 182s/300s
step 3150 | loss 0.3131 | games 201600 | time 183s/300s
step 3160 | loss 0.3037 | games 202240 | time 184s/300s
step 3170 | loss 0.2460 | games 202880 | time 184s/300s
step 3180 | loss 0.2948 | games 203520 | time 185s/300s
step 3190 | loss 0.2549 | games 204160 | time 185s/300s
step 3200 | loss 0.2730 | games 204800 | time 186s/300s
step 3210 | loss 0.2453 | games 205440 | time 186s/300s
step 3220 | loss 0.2348 | games 206080 | time 187s/300s
step 3230 | loss 0.2808 | games 206720 | time 188s/300s
step 3240 | loss 0.3029 | games 207360 | time 188s/300s
step 3250 | loss 0.3149 | games 208000 | time 189s/300s
step 3260 | loss 0.2895 | games 208640 | time 190s/300s
step 3270 | loss 0.3153 | games 209280 | time 190s/300s
step 3280 | loss 0.3169 | games 209920 | time 191s/300s
step 3290 | loss 0.3003 | games 210560 | time 192s/300s
step 3300 | loss 0.2802 | games 211200 | time 192s/300s
step 3310 | loss 0.2721 | games 211840 | time 193s/300s
step 3320 | loss 0.2654 | games 212480 | time 193s/300s
step 3330 | loss 0.2798 | games 213120 | time 194s/300s
step 3340 | loss 0.2723 | games 213760 | time 195s/300s
step 3350 | loss 0.2146 | games 214400 | time 195s/300s
step 3360 | loss 0.2549 | games 215040 | time 196s/300s
step 3370 | loss 0.3125 | games 215680 | time 196s/300s
step 3380 | loss 0.3067 | games 216320 | time 197s/300s
step 3390 | loss 0.2513 | games 216960 | time 197s/300s
step 3400 | loss 0.2631 | games 217600 | time 198s/300s
step 3410 | loss 0.2758 | games 218240 | time 199s/300s
step 3420 | loss 0.2851 | games 218880 | time 199s/300s
step 3430 | loss 0.3175 | games 219520 | time 200s/300s
step 3440 | loss 0.2826 | games 220160 | time 200s/300s
step 3450 | loss 0.2701 | games 220800 | time 201s/300s
step 3460 | loss 0.3051 | games 221440 | time 201s/300s
step 3470 | loss 0.3062 | games 222080 | time 202s/300s
step 3480 | loss 0.2395 | games 222720 | time 202s/300s
step 3490 | loss 0.2793 | games 223360 | time 203s/300s
step 3500 | loss 0.2887 | games 224000 | time 204s/300s
step 3510 | loss 0.2855 | games 224640 | time 204s/300s
