Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4722 | games   640 | time 1s/300s
step 1430 | loss 0.3400 | games 91520 | time 80s/300s
step 1440 | loss 0.3372 | games 92160 | time 81s/300s
step 1450 | loss 0.3249 | games 92800 | time 81s/300s
step 1460 | loss 0.3134 | games 93440 | time 82s/300s
step 1470 | loss 0.2940 | games 94080 | time 82s/300s
step 1480 | loss 0.2856 | games 94720 | time 83s/300s
step 1490 | loss 0.3004 | games 95360 | time 84s/300s
step 1500 | loss 0.2743 | games 96000 | time 84s/300s
step 1510 | loss 0.2635 | games 96640 | time 85s/300s
step 1520 | loss 0.3123 | games 97280 | time 85s/300s
step 1530 | loss 0.3382 | games 97920 | time 86s/300s
step 1540 | loss 0.3330 | games 98560 | time 86s/300s
step 1550 | loss 0.3275 | games 99200 | time 87s/300s
step 1560 | loss 0.3410 | games 99840 | time 88s/300s
step 1570 | loss 0.2980 | games 100480 | time 88s/300s
step 1580 | loss 0.3030 | games 101120 | time 89s/300s
step 1590 | loss 0.2823 | games 101760 | time 89s/300s
step 1600 | loss 0.2701 | games 102400 | time 90s/300s
step 1610 | loss 0.2664 | games 103040 | time 90s/300s
step 1620 | loss 0.2732 | games 103680 | time 91s/300s
step 1630 | loss 0.2754 | games 104320 | time 91s/300s
step 1640 | loss 0.2894 | games 104960 | time 92s/300s
step 1650 | loss 0.2439 | games 105600 | time 92s/300s
step 1660 | loss 0.2522 | games 106240 | time 93s/300s
step 1670 | loss 0.2981 | games 106880 | time 94s/300s
step 1680 | loss 0.2780 | games 107520 | time 94s/300s
step 1690 | loss 0.3066 | games 108160 | time 95s/300s
step 1700 | loss 0.2774 | games 108800 | time 96s/300s
step 1710 | loss 0.2783 | games 109440 | time 96s/300s
step 1720 | loss 0.2828 | games 110080 | time 97s/300s
step 1730 | loss 0.2888 | games 110720 | time 97s/300s
step 1740 | loss 0.2949 | games 111360 | time 98s/300s
step 1750 | loss 0.3034 | games 112000 | time 99s/300s
step 1760 | loss 0.2924 | games 112640 | time 99s/300s
step 1770 | loss 0.3030 | games 113280 | time 100s/300s
step 1780 | loss 0.2873 | games 113920 | time 100s/300s
step 1790 | loss 0.2878 | games 114560 | time 101s/300s
step 1800 | loss 0.2793 | games 115200 | time 102s/300s
step 1810 | loss 0.2588 | games 115840 | time 102s/300s
step 1820 | loss 0.2681 | games 116480 | time 103s/300s
step 1830 | loss 0.3092 | games 117120 | time 103s/300s
step 1840 | loss 0.3067 | games 117760 | time 104s/300s
step 1850 | loss 0.2851 | games 118400 | time 104s/300s
step 1860 | loss 0.2772 | games 119040 | time 105s/300s
step 1870 | loss 0.2778 | games 119680 | time 105s/300s
step 1880 | loss 0.2863 | games 120320 | time 106s/300s
step 1890 | loss 0.2862 | games 120960 | time 107s/300s
step 1900 | loss 0.2976 | games 121600 | time 107s/300s
step 1910 | loss 0.2834 | games 122240 | time 108s/300s
step 1920 | loss 0.2877 | games 122880 | time 108s/300s
step 1930 | loss 0.3099 | games 123520 | time 109s/300s
step 1940 | loss 0.3228 | games 124160 | time 109s/300s
step 1950 | loss 0.3204 | games 124800 | time 110s/300s
step 1960 | loss 0.2916 | games 125440 | time 110s/300s
step 1970 | loss 0.2810 | games 126080 | time 111s/300s
step 1980 | loss 0.2711 | games 126720 | time 112s/300s
step 1990 | loss 0.2844 | games 127360 | time 112s/300s
step 2000 | loss 0.2999 | games 128000 | time 113s/300s
step 2010 | loss 0.3086 | games 128640 | time 113s/300s
step 2020 | loss 0.2853 | games 129280 | time 114s/300s
step 2030 | loss 0.2932 | games 129920 | time 114s/300s
step 2040 | loss 0.2906 | games 130560 | time 115s/300s
step 2050 | loss 0.2772 | games 131200 | time 116s/300s
step 2060 | loss 0.2985 | games 131840 | time 116s/300s
step 2070 | loss 0.2963 | games 132480 | time 117s/300s
step 2080 | loss 0.3120 | games 133120 | time 117s/300s
step 2090 | loss 0.2986 | games 133760 | time 118s/300s
step 2100 | loss 0.2766 | games 134400 | time 118s/300s
step 2110 | loss 0.2655 | games 135040 | time 119s/300s
step 2120 | loss 0.2629 | games 135680 | time 119s/300s
step 2130 | loss 0.2432 | games 136320 | time 120s/300s
step 2140 | loss 0.2337 | games 136960 | time 120s/300s
step 2150 | loss 0.2691 | games 137600 | time 121s/300s
step 2160 | loss 0.3004 | games 138240 | time 121s/300s
step 2170 | loss 0.2867 | games 138880 | time 122s/300s
step 2180 | loss 0.2910 | games 139520 | time 123s/300s
step 2190 | loss 0.2992 | games 140160 | time 123s/300s
step 2200 | loss 0.3003 | games 140800 | time 124s/300s
step 2210 | loss 0.2871 | games 141440 | time 124s/300s
step 2220 | loss 0.2502 | games 142080 | time 125s/300s
step 2230 | loss 0.2375 | games 142720 | time 125s/300s
step 2240 | loss 0.2710 | games 143360 | time 126s/300s
step 2250 | loss 0.2865 | games 144000 | time 126s/300s
step 2260 | loss 0.2641 | games 144640 | time 127s/300s
step 2270 | loss 0.2198 | games 145280 | time 127s/300s
step 2280 | loss 0.2576 | games 145920 | time 128s/300s
step 2290 | loss 0.2846 | games 146560 | time 128s/300s
step 2300 | loss 0.2785 | games 147200 | time 129s/300s
step 2310 | loss 0.2840 | games 147840 | time 129s/300s
step 2320 | loss 0.2736 | games 148480 | time 130s/300s
