Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15 -> 0.02
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5230 | games   640 | time 1s/300s
step 1700 | loss 0.3065 | games 108800 | time 93s/300s
step 1710 | loss 0.3033 | games 109440 | time 94s/300s
step 1720 | loss 0.2794 | games 110080 | time 94s/300s
step 1730 | loss 0.2764 | games 110720 | time 95s/300s
step 1740 | loss 0.2222 | games 111360 | time 95s/300s
step 1750 | loss 0.2099 | games 112000 | time 96s/300s
step 1760 | loss 0.1376 | games 112640 | time 96s/300s
step 1770 | loss 0.1978 | games 113280 | time 96s/300s
step 1780 | loss 0.1226 | games 113920 | time 97s/300s
step 1790 | loss 0.1337 | games 114560 | time 97s/300s
step 1800 | loss 0.2011 | games 115200 | time 98s/300s
step 1810 | loss 0.2331 | games 115840 | time 98s/300s
step 1820 | loss 0.2307 | games 116480 | time 99s/300s
step 1830 | loss 0.2623 | games 117120 | time 99s/300s
step 1840 | loss 0.2211 | games 117760 | time 100s/300s
step 1850 | loss 0.2772 | games 118400 | time 100s/300s
step 1860 | loss 0.2919 | games 119040 | time 101s/300s
step 1870 | loss 0.2574 | games 119680 | time 102s/300s
step 1880 | loss 0.2836 | games 120320 | time 102s/300s
step 1890 | loss 0.2800 | games 120960 | time 103s/300s
step 1900 | loss 0.2878 | games 121600 | time 103s/300s
step 1910 | loss 0.3436 | games 122240 | time 104s/300s
step 1920 | loss 0.3329 | games 122880 | time 104s/300s
step 1930 | loss 0.1815 | games 123520 | time 105s/300s
step 1940 | loss 0.2275 | games 124160 | time 105s/300s
step 1950 | loss 0.2247 | games 124800 | time 106s/300s
step 1960 | loss 0.2730 | games 125440 | time 106s/300s
step 1970 | loss 0.2491 | games 126080 | time 107s/300s
step 1980 | loss 0.2780 | games 126720 | time 107s/300s
step 1990 | loss 0.3127 | games 127360 | time 108s/300s
step 2000 | loss 0.2657 | games 128000 | time 108s/300s
step 2010 | loss 0.2666 | games 128640 | time 109s/300s
step 2020 | loss 0.2709 | games 129280 | time 110s/300s
step 2030 | loss 0.3078 | games 129920 | time 110s/300s
step 2040 | loss 0.3063 | games 130560 | time 111s/300s
step 2050 | loss 0.2675 | games 131200 | time 111s/300s
step 2060 | loss 0.1641 | games 131840 | time 112s/300s
step 2070 | loss 0.2089 | games 132480 | time 112s/300s
step 2080 | loss 0.2460 | games 133120 | time 113s/300s
step 2090 | loss 0.2893 | games 133760 | time 113s/300s
step 2100 | loss 0.3051 | games 134400 | time 114s/300s
step 2110 | loss 0.2473 | games 135040 | time 114s/300s
step 2120 | loss 0.2657 | games 135680 | time 115s/300s
step 2130 | loss 0.2853 | games 136320 | time 115s/300s
step 2140 | loss 0.3043 | games 136960 | time 116s/300s
step 2150 | loss 0.2733 | games 137600 | time 116s/300s
step 2160 | loss 0.3011 | games 138240 | time 117s/300s
step 2170 | loss 0.2858 | games 138880 | time 118s/300s
step 2180 | loss 0.2469 | games 139520 | time 118s/300s
step 2190 | loss 0.2540 | games 140160 | time 119s/300s
step 2200 | loss 0.2752 | games 140800 | time 119s/300s
step 2210 | loss 0.2910 | games 141440 | time 120s/300s
step 2220 | loss 0.2345 | games 142080 | time 120s/300s
step 2230 | loss 0.2429 | games 142720 | time 121s/300s
step 2240 | loss 0.2917 | games 143360 | time 122s/300s
step 2250 | loss 0.2513 | games 144000 | time 122s/300s
step 2260 | loss 0.1438 | games 144640 | time 123s/300s
step 2270 | loss 0.1691 | games 145280 | time 123s/300s
step 2280 | loss 0.2176 | games 145920 | time 124s/300s
step 2290 | loss 0.2764 | games 146560 | time 124s/300s
step 2300 | loss 0.1776 | games 147200 | time 125s/300s
step 2310 | loss 0.2778 | games 147840 | time 125s/300s
step 2320 | loss 0.3102 | games 148480 | time 126s/300s
step 2330 | loss 0.3045 | games 149120 | time 127s/300s
step 2340 | loss 0.2771 | games 149760 | time 127s/300s
step 2350 | loss 0.3018 | games 150400 | time 128s/300s
step 2360 | loss 0.2792 | games 151040 | time 128s/300s
step 2370 | loss 0.2726 | games 151680 | time 129s/300s
step 2380 | loss 0.3132 | games 152320 | time 129s/300s
step 2390 | loss 0.1456 | games 152960 | time 130s/300s
step 2400 | loss 0.1993 | games 153600 | time 130s/300s
step 2410 | loss 0.2493 | games 154240 | time 131s/300s
step 2420 | loss 0.2215 | games 154880 | time 132s/300s
step 2430 | loss 0.3188 | games 155520 | time 132s/300s
step 2440 | loss 0.3030 | games 156160 | time 133s/300s
step 2450 | loss 0.2605 | games 156800 | time 133s/300s
step 2460 | loss 0.1827 | games 157440 | time 134s/300s
step 2470 | loss 0.2219 | games 158080 | time 134s/300s
step 2480 | loss 0.2358 | games 158720 | time 135s/300s
step 2490 | loss 0.2458 | games 159360 | time 135s/300s
step 2500 | loss 0.2522 | games 160000 | time 136s/300s
step 2510 | loss 0.3629 | games 160640 | time 136s/300s
step 2520 | loss 0.3770 | games 161280 | time 137s/300s
step 2530 | loss 0.3081 | games 161920 | time 137s/300s
step 2540 | loss 0.3184 | games 162560 | time 138s/300s
